COADD_OBJECT_ID,RA,DEC,SOF_CM_G_1,SOF_CM_G_2,Z,VEL_DISP,ID
133273801,351.88311100,0.89604600,0.08560389,-0.02606315,0.58867675,214.85716000,133273801
204442899,7.26615400,-2.71679200,0.00067069,0.09601543,0.45107478,191.42557000,204442899
75282514,334.56462300,-0.58613200,-0.20134112,-0.02025291,0.44321510,193.60628000,75282514
199133039,321.66847200,-1.15311900,-0.11874967,-0.03455477,0.60356070,212.83269000,199133039
105096699,344.58861800,2.16808500,-0.00193579,-0.13123613,0.57118297,171.83388000,105096699
80458087,336.14266700,-2.25599300,0.15742357,0.14120913,0.53730870,259.12110000,80458087
245685246,328.61419400,0.64149900,-0.08213053,0.13643073,0.22145660,192.85175000,245685246
133218582,352.17082600,-1.00984300,0.01658279,-0.06525266,0.60349070,241.84314000,133218582
279359958,13.28630700,4.28634600,0.07421456,0.22442997,0.39969343,164.85810000,279359958
66351264,31.04882700,2.06877300,-0.14633148,-0.09727764,0.40403944,218.44623000,66351264
195311484,320.18528100,-0.07891300,0.00623743,-0.11794258,0.23196480,172.52824000,195311484
155500147,9.65881200,4.92413400,0.03809636,-0.01434531,0.46315765,215.12347000,155500147
278595497,13.48976900,4.76331900,-0.07719274,0.07281494,0.28662490,163.25006000,278595497
300736516,17.83520200,0.13313700,-0.00050101,-0.05923149,0.54806920,231.48400000,300736516
295027955,16.94029000,2.33519700,-0.04113738,0.06087141,0.34362543,272.80450000,295027955
147602559,7.80853600,-0.13671000,-0.25271445,-0.04537481,0.47433653,221.82079000,147602559
303343802,18.88529500,2.62431300,-0.06712651,0.04595141,0.19743712,255.99136000,303343802
145059690,7.11908500,2.40466500,0.02015816,0.06290341,0.37324816,220.85373000,145059690
195854099,320.94247800,0.96498600,-0.17021311,0.15906033,0.47661436,254.49394000,195854099
79299817,336.81619300,2.21454800,-0.01213756,0.10959666,0.64664020,384.59283000,79299817
120068872,36.79572800,1.10934500,-0.03574246,0.18384842,0.46219590,241.96000000,120068872
210069934,359.93241300,-0.21189700,0.00291435,-0.09799404,0.50961107,292.52148000,210069934
118963951,36.83421100,-7.82226100,0.05241310,-0.08556678,0.47797984,236.01126000,118963951
200273563,322.10492800,1.03043600,-0.04289007,-0.08668691,0.49885222,144.15839000,200273563
118342884,36.87846700,-9.23762400,0.04663529,-0.15242558,0.28793156,255.30963000,118342884
208846133,8.11934600,0.86069800,0.05741635,0.09207541,0.53818023,245.42842000,208846133
259853307,28.58487000,0.08484100,0.02120403,-0.00057093,0.48419300,200.86833000,259853307
202829685,322.97944700,-0.61942900,0.20129487,-0.02326001,0.49102430,262.55590000,202829685
75815146,333.33008500,-0.24354900,-0.24386789,-0.18768758,0.45225620,228.33768000,75815146
248216295,330.91045200,-0.58918700,-0.24589873,-0.16770686,0.48766050,271.66867000,248216295
85947270,337.57538300,-0.94961500,0.15377077,-0.07070014,0.66517586,332.21832000,85947270
236891300,24.68482900,0.37645500,-0.02203939,-0.45069179,0.29906120,183.15460000,236891300
